x,y,name,topGenre
-0.10198845200853655,-0.10032156956910432,ProductMonkey,indie
-0.05209380391927469,-0.008635958383677,yooden_vranx,indie
-0.36767264061559923,0.005643095471538746,darkdarren12,Hip-Hop
-0.030347159311889072,-0.012394158388981995,MissyMiss4ord,electronic
-0.16706752878503472,-0.15314977831119875,RisforRebecca,classic rock
-0.4436591730024005,0.4789261805518589,CharlieKimball,Hip-Hop
-0.5934348806787457,0.27989448264870614,ABlackBeetle,Hip-Hop
-0.05290029767754487,-0.04329142702776849,crista_marie,indie
-0.28259287465022453,-0.01002767264673452,HatzD,Hip-Hop
-0.333147863615834,0.09263286794581863,Caynine59,alternative
-0.004619648675636915,0.019127644169606224,Niko_albarn,Lo-Fi
-0.008648135635120121,0.0029530029236561305,PeachChloroform,indie
-0.1108037668350941,-0.16845798462764813,qapes,video game music
-0.053431096470653514,-0.015325577590833993,jesh-,Hip-Hop
-0.2428739145883932,-0.07770149424367556,ImmaCornflakes,Hip-Hop
-0.20145563438664585,0.041419923350591414,viewtifulstyle,Hip-Hop
-0.10995160156981765,-0.08154262924006032,BatteryPak,new wave
-0.13244224730459778,0.03470638902561674,ampexiian,Hip-Hop
-0.1609530508981622,-0.09663198145021916,Sinn3d_tragedy,pop punk
0.010640620274110687,2.774082824407854E-4,Mushroomjustone,video game music
-0.19637497225621317,-0.11613316449361098,oCCAMSrAZOReDGE,electronic
-0.6146460095560133,-0.1013208121506387,chxzlotte,Hip-Hop
-0.48145424175981566,-0.33117082124368835,will-neill,Hip-Hop
-0.22643641330592498,-0.012133757344382854,theneedledrop,Hip-Hop
-0.1258560586409667,-0.07924482070029651,startedafire,indie
-0.1665544434054532,-0.096280144110067,SquidTrash,noise
-0.4734745037839746,-0.3615102733734431,carseatheadrest,indie
-0.29844788760285834,-0.09601242124819251,SnakeEater54800,electronic
-0.33900981967736277,-0.1931147291366554,TylerSymes,pop
-0.5279748219152242,0.22359990204900262,g0osemaker,Hip-Hop
-0.6615052772384963,-0.16311106249767973,internabee,electronic
0.16530016956219154,-0.3666510027404771,nitroausome,rock
-0.15882527488621084,-0.129966618648297,FCN_,indie
-0.19763519721159756,-0.17434572863139433,CustomCabF100,indie
-0.02158297718561182,-0.0357730226979351,FromtheWordsofB,indie
0.03189364524550068,-0.09083490055203369,jakeisafairy,classic rock
-0.17761202912125926,-0.08568757711989909,still_bummed,post-punk
-0.1556976787905994,-0.2125451989570848,DoomZappo,Progressive rock
-0.28997682680684667,-0.2646580535073531,FireRedTails,electronic
-0.010014031087783407,-0.02684086862336409,MrAsir17,chiptune
-0.35824420380113486,-0.3143523458888391,ExpressionYTP,idm
-0.22499529380962954,-0.1732891200629662,spaghettijesus,breakcore
-0.38177431200761275,-0.3967882343306834,darthanader,indie
-0.18022915567321557,-0.13155029281831956,notwilliam_,experimental
-0.28990104545260326,-0.41083063063902964,RCLeahcar,shoegaze
-0.23403414810602033,-0.2130854144617939,ideas96,electronic
-0.4573843796629904,-0.3107498928063917,CrispyDragons,indie
-0.036558926757788594,0.08590803547481454,theregmaster,pop
-0.5124677103130578,-0.3707966114639901,MashuVariety,electronic
0.047694280599800014,-0.12041742666734917,laromande,eurobeat
-0.11730337292426563,-0.21133927629032043,TheMalkmusian,Progressive rock
0.026466781112626455,-0.21805273485298304,GasmaskAvenger,thrash metal
-0.013761354218592134,-0.009339483768821521,Dozzyrok,japanese
-0.4952544738987077,-0.17907247244200558,bribethecat,indie
-0.4191773925677478,-0.19435817102294,nineroe9,Hip-Hop
-0.701804630661619,-0.27011457563250785,JordanLeeFoon,Hip-Hop
-0.31501066996797117,-0.37814255959402626,Mattson402,classic rock
-0.12466960629359242,-0.24803512356510757,mexus98,indie
0.008456709785624347,0.008307220822480577,ishtigr,ambient
-0.5447961328835335,0.3412112089397897,A10JoClo,Hip-Hop
-0.713844599952211,0.07820745475815037,drmcninja202,Hip-Hop
-0.3065389698735814,-0.10608802376917897,shaheenpage,seen live
-0.19305108183488026,0.13809213904775328,KvertyMD,rock
-0.45786978231656855,-0.03828170872173385,inourprime,indie
-0.10168111794303246,0.0889491725364667,brittnbrooks,Hip-Hop
-0.23051376958257064,-0.1281779820828811,drewbooks,indie
-0.012202833642268549,-0.1869042392801138,marqina,electronic
0.038418910794665,0.015742399280014505,bleedingattila,metalcore
-0.21719724729363116,-0.03532307720482546,nemekat,electronic
-0.06125370907297362,-0.22809546399881192,pinkiifloydd,classic rock
-0.02480846759527662,7.975240464192345E-5,tonymarla,Hip-Hop
-0.04190840495687725,-0.045004141093053486,tcweh,pop
-1.5337810248924855E-4,0.017402845256342607,Turkishunicorn2,pop
-0.6713492346699759,-0.06706946540981669,LucasLinoMota,folk
-0.14387565349909093,-0.17584300939591674,theotherjordan,classic rock
-0.2102646756852001,-0.14171082955248315,lushlove,pop
0.009042097120426675,-0.008297135407563359,Rebelfawks,punk
0.0068161630001834835,0.02965418136314627,allenw990,pop
-0.07173730406985898,-0.010577319167294428,AmantisAsoko,indie
-0.18918128907704965,-0.06625970192301482,Tcos17,Lo-Fi
-0.5794666871362075,-0.2681243194618846,tralalove,indie
-0.6319721621091648,-0.2460702126200764,cburja,indie
-0.5359286493287796,-0.07480851434063386,TempAcnt17,Hip-Hop
-0.38043011965447115,0.1521288512632455,tiperschapman,Hip-Hop
-0.11802531671636078,-0.08527387006629199,jc4509,folk
-0.08514747531690411,-0.0592948414990294,fadingophelia,Soundtrack
-0.21507534090860977,-0.2064208143317621,TristeMemoire,post-hardcore
-0.6447866112571092,0.15275119290066813,KevinsFacey,indie
-0.28753608622467336,-0.20665323433127103,lelebuonerba,electronic
-0.20367998708157956,0.05885646897151857,Scouticus,Lo-Fi
-0.6408221098613568,0.18412235101871052,tudammkawaii,Hip-Hop
-0.5771354682386763,-0.002951327292204535,paytonkuhn,indie
-0.4321992828145011,4.6150033858726976E-5,ThessWade,Hip-Hop
-0.4449434106972937,-0.19560455526091852,YoungOne1020,Hip-Hop
-0.1734691061486804,-0.3443335086307674,sco703,indie
-0.0777194391536004,-0.027304039647934698,xen0graft,electronic
-0.41522762355360465,-0.23966462546220957,Quaxxx,Hip-Hop
-0.09252559352486928,0.05612994703982007,bencie,electronic
-0.5070102641966677,-0.12367624682216274,ablackshoe,electronic
-0.6235452915501839,0.05354710308512959,selib,electronic
-0.26355511207556503,0.019897876999694204,Juslotting,Hip-Hop
0.008174437076714412,-0.02487475965120816,Clubonica,black metal
-0.3717906087360549,-0.339214812532537,Longinglolwut,experimental
-0.5856661358140011,-0.3696370483225295,hiplink,Hip-Hop
-0.828090117333423,-0.10953465790429269,robertobaz,Hip-Hop
-0.44060700321499996,0.016928318333265607,chaosan,indie
-0.136541458969428,-0.05403248979058948,Ferriswheel98,Lo-Fi
-0.4503385369813083,-0.11591815687047385,Whyguy1000,Hip-Hop
-0.6012855927901392,-0.321192278534899,LotsOfAtoms,indie
-0.3123953727564217,-0.13492887538242526,yhyeahh,indie
-0.5746733820189637,-0.3998228908508206,PieGie,indie
-0.21793180414354457,-0.057907846444137136,NeoReversio,post-rock
-0.05518280775365335,-0.02454106350253853,hippiepowers,seen live
-0.35789204443177364,-0.11249316483952358,matt1337c,indie
-0.34437997282232585,-0.18537783968904256,lostcosmonaut22,indie
-0.17396984495016443,-0.05061130278878279,mikeyann,indie
-0.2616170071190101,-0.08325519166125342,mackleless,indie
-0.23773863895456904,-0.05188507050503201,bootyshorts_,indie
-0.1245120532930397,-0.11728199127173701,elmycroft,indie
-0.37744700580217283,-0.12035974195375909,CoryMcDonald,indie
-0.5365135430068657,-0.06675070694379742,Mynameiscian,Hip-Hop
-0.4381076588855183,-0.13500177429826454,quagsire28,electronic
-0.1686386330048122,-0.16134162993286702,Be_my_MBV,post-punk
-0.6133039942506874,0.05833706986110779,zealzero148,Hip-Hop
-0.22935866742241406,-0.24500479798004338,Nicker024,Hip-Hop
-0.5009792465030606,-0.11098155546943855,StefanMakowski,electronic
-0.15442283020063804,-0.14476544862827903,TinVision,indie
-0.07851530392584384,0.16177007688749212,rosieg96,pop
